LA code,Local Authority,Year,Frequency,Walking_%,Cycling_%
E09000002,Barking and Dagenham,2016/17,3x per week,37,3
E09000003,Barnet,2016/17,3x per week,46,2
E09000004,Bexley,2016/17,3x per week,42,3
E09000005,Brent,2016/17,3x per week,41,3
E09000006,Bromley,2016/17,3x per week,53,2
E09000007,Camden,2016/17,3x per week,56,8
E09000008,Croydon,2016/17,3x per week,42,3
E09000009,Ealing,2016/17,3x per week,40,5
E09000010,Enfield,2016/17,3x per week,40,3
E09000011,Greenwich,2016/17,3x per week,47,7
E09000012,Hackney,2016/17,3x per week,54,19
E09000013,Hammersmith and Fulham,2016/17,3x per week,57,13
E09000014,Haringey,2016/17,3x per week,48,8
E09000015,Harrow,2016/17,3x per week,43,3
E09000016,Havering,2016/17,3x per week,41,4
E09000017,Hillingdon,2016/17,3x per week,48,3
E09000018,Hounslow,2016/17,3x per week,39,5
E09000019,Islington,2016/17,3x per week,54,9
E09000020,Kensington and Chelsea,2016/17,3x per week,53,8
E09000021,Kingston upon Thames,2016/17,3x per week,50,7
E09000022,Lambeth,2016/17,3x per week,55,12
E09000023,Lewisham,2016/17,3x per week,47,8
E09000024,Merton,2016/17,3x per week,50,8
E09000025,Newham,2016/17,3x per week,44,4
E09000026,Redbridge,2016/17,3x per week,45,2
E09000027,Richmond upon Thames,2016/17,3x per week,54,10
E09000028,Southwark,2016/17,3x per week,53,13
E09000029,Sutton,2016/17,3x per week,45,2
E09000030,Tower Hamlets,2016/17,3x per week,53,13
E09000031,Waltham Forest,2016/17,3x per week,53,8
E09000032,Wandsworth,2016/17,3x per week,54,8
E09000033,Westminster,2016/17,3x per week,52,9
E12000001,North East,2016/17,3x per week,43,4
E12000002,North West,2016/17,3x per week,41,5
E12000003,Yorkshire and the Humber,2016/17,3x per week,41,5
E12000004,East Midlands,2016/17,3x per week,41,5
E12000005,West Midlands,2016/17,3x per week,39,4
E12000006,East of England,2016/17,3x per week,43,7
E12000007,London,2016/17,3x per week,48,7
E12000008,South East,2016/17,3x per week,44,6
E12000009,South West,2016/17,3x per week,45,7
E92000001,ENGLAND,2016/17,3x per week,43,6
E09000001,City of London,2016/17,5x per week,55,1
E09000002,Barking and Dagenham,2016/17,5x per week,26,2
E09000003,Barnet,2016/17,5x per week,33,1
E09000004,Bexley,2016/17,5x per week,30,2
E09000005,Brent,2016/17,5x per week,31,1
E09000006,Bromley,2016/17,5x per week,40,2
E09000007,Camden,2016/17,5x per week,42,4
E09000008,Croydon,2016/17,5x per week,32,0
E09000009,Ealing,2016/17,5x per week,30,3
E09000010,Enfield,2016/17,5x per week,29,1
E09000011,Greenwich,2016/17,5x per week,36,4
E09000012,Hackney,2016/17,5x per week,42,14
E09000013,Hammersmith and Fulham,2016/17,5x per week,43,9
E09000014,Haringey,2016/17,5x per week,38,6
E09000015,Harrow,2016/17,5x per week,34,1
E09000016,Havering,2016/17,5x per week,29,2
E09000017,Hillingdon,2016/17,5x per week,35,3
E09000018,Hounslow,2016/17,5x per week,28,3
E09000019,Islington,2016/17,5x per week,40,5
E09000020,Kensington and Chelsea,2016/17,5x per week,41,5
E09000021,Kingston upon Thames,2016/17,5x per week,37,6
E09000022,Lambeth,2016/17,5x per week,43,7
E09000023,Lewisham,2016/17,5x per week,37,5
E09000024,Merton,2016/17,5x per week,38,6
E09000025,Newham,2016/17,5x per week,34,3
E09000026,Redbridge,2016/17,5x per week,34,1
E09000027,Richmond upon Thames,2016/17,5x per week,40,6
E09000028,Southwark,2016/17,5x per week,43,8
E09000029,Sutton,2016/17,5x per week,35,2
E09000030,Tower Hamlets,2016/17,5x per week,39,7
E09000031,Waltham Forest,2016/17,5x per week,43,6
E09000032,Wandsworth,2016/17,5x per week,41,4
E09000033,Westminster,2016/17,5x per week,42,6
E12000001,North East,2016/17,5x per week,32,2
E12000002,North West,2016/17,5x per week,31,3
E12000003,Yorkshire and the Humber,2016/17,5x per week,30,3
E12000004,East Midlands,2016/17,5x per week,30,3
E12000005,West Midlands,2016/17,5x per week,28,3
E12000006,East of England,2016/17,5x per week,32,4
E12000007,London,2016/17,5x per week,36,4
E12000008,South East,2016/17,5x per week,32,4
E12000009,South West,2016/17,5x per week,33,4
E92000001,ENGLAND,2016/17,5x per week,32,3
